"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 15:19:11 GMT 2022","Tue Dec 13 15:19:12 GMT 2022","922","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Tue Dec 13 15:19:15 GMT 2022","Tue Dec 13 15:19:16 GMT 2022","912","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
"skipped","Tue Dec 13 15:19:13 GMT 2022","Tue Dec 13 15:19:15 GMT 2022","1572","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
"passed","Tue Dec 13 15:19:08 GMT 2022","Tue Dec 13 15:19:11 GMT 2022","2234","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
"passed","Tue Dec 13 15:19:12 GMT 2022","Tue Dec 13 15:19:13 GMT 2022","1364","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
