"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Dec 10 09:13:30 GMT 2022","Sat Dec 10 09:13:31 GMT 2022","714","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
"passed","Sat Dec 10 09:13:28 GMT 2022","Sat Dec 10 09:13:29 GMT 2022","629","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Sat Dec 10 09:13:31 GMT 2022","Sat Dec 10 09:13:31 GMT 2022","520","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
"passed","Sat Dec 10 09:13:26 GMT 2022","Sat Dec 10 09:13:28 GMT 2022","2233","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
"passed","Sat Dec 10 09:13:29 GMT 2022","Sat Dec 10 09:13:30 GMT 2022","878","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
