"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 09 15:14:55 GMT 2022","Fri Dec 09 15:14:56 GMT 2022","1078","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Fri Dec 09 15:14:59 GMT 2022","Fri Dec 09 15:15:00 GMT 2022","1043","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
"passed","Fri Dec 09 15:14:52 GMT 2022","Fri Dec 09 15:14:55 GMT 2022","3047","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
"passed","Fri Dec 09 15:14:56 GMT 2022","Fri Dec 09 15:14:57 GMT 2022","1785","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Fri Dec 09 15:14:57 GMT 2022","Fri Dec 09 15:14:59 GMT 2022","1667","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
