"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 09:14:30 GMT 2022","Mon Dec 19 09:14:31 GMT 2022","776","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Mon Dec 19 09:14:32 GMT 2022","Mon Dec 19 09:14:32 GMT 2022","410","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
"passed","Mon Dec 19 09:14:28 GMT 2022","Mon Dec 19 09:14:30 GMT 2022","1401","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
"passed","Mon Dec 19 09:14:30 GMT 2022","Mon Dec 19 09:14:30 GMT 2022","472","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Mon Dec 19 09:14:31 GMT 2022","Mon Dec 19 09:14:31 GMT 2022","652","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
