"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 07 15:15:30 GMT 2022","Wed Dec 07 15:15:31 GMT 2022","1362","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
"passed","Wed Dec 07 15:15:27 GMT 2022","Wed Dec 07 15:15:28 GMT 2022","790","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"passed","Wed Dec 07 15:15:26 GMT 2022","Wed Dec 07 15:15:27 GMT 2022","1927","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
"passed","Wed Dec 07 15:15:28 GMT 2022","Wed Dec 07 15:15:30 GMT 2022","1561","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Wed Dec 07 15:15:31 GMT 2022","Wed Dec 07 15:15:32 GMT 2022","948","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
