"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 07 03:20:46 GMT 2022","Wed Dec 07 03:20:46 GMT 2022","625","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Wed Dec 07 03:20:47 GMT 2022","Wed Dec 07 03:20:47 GMT 2022","349","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
"passed","Wed Dec 07 03:20:44 GMT 2022","Wed Dec 07 03:20:45 GMT 2022","1076","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
"skipped","Wed Dec 07 03:20:46 GMT 2022","Wed Dec 07 03:20:47 GMT 2022","496","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
"passed","Wed Dec 07 03:20:45 GMT 2022","Wed Dec 07 03:20:46 GMT 2022","488","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
