"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Dec 17 12:24:39 GMT 2022","Sat Dec 17 12:24:40 GMT 2022","669","tests","test_post","TestPost","","","test_edit_post","This test checks put:/api/v1/threads/discussion/"
"passed","Sat Dec 17 12:24:38 GMT 2022","Sat Dec 17 12:24:39 GMT 2022","528","tests","test_post","TestPost","","","test_delete_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"skipped","Sat Dec 17 12:24:40 GMT 2022","Sat Dec 17 12:24:41 GMT 2022","481","tests","test_post","TestPost","","","test_reaction_post","This test checks '/api/v1/reactions/'"
"passed","Sat Dec 17 12:24:39 GMT 2022","Sat Dec 17 12:24:39 GMT 2022","791","tests","test_post","TestPost","","","test_read_post","This test checks '/api/v1/threads/discussion/discussion_id/'"
"passed","Sat Dec 17 12:24:36 GMT 2022","Sat Dec 17 12:24:38 GMT 2022","2393","tests","test_post","TestPost","","","test_create_post","This test checks '/api/v1/threads/discussion/'"
